"student ID","sex"
7401,2
7402,2
7403,2
7404,2
7405,2
7406,1
7407,2
7408,2
7409,2
7410,2
7411,2
7412,2
7413,1
7414,2
7416,2
7417,2
7419,2
7420,2
7421,1
7422,2
7423,2
7424,2
7425,2
7426,2
7428,2
7429,2
7430,1
7431,1
7432,2
7433,2
